,City,Country,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
103,Pevek,RU,94,100,69.7,170.31,8.94,2.86
104,Nuuk,GL,96,75,64.18,-51.72,33.8,33.33
105,Miranda,CO,58,75,3.25,-76.23,82.4,8.05
106,Lavrentiya,RU,94,6,65.58,-171.0,26.83,1.92
107,Mossamedes,AO,67,63,-15.2,12.15,75.74,3.02
108,East London,ZA,74,24,-33.02,27.91,65.14,12.77
109,Provideniya,RU,86,75,64.38,-173.3,30.2,11.18
110,Vicuña,CL,63,75,-30.03,-70.71,64.4,11.41
111,Saint George,US,18,1,37.1,-113.58,68.0,3.36
112,Maxixe,MZ,94,40,-23.86,35.35,78.8,9.17
113,Barrow,US,85,90,71.29,-156.79,19.4,21.92
114,Manakara,MG,89,5,-22.13,48.02,73.85,3.91
115,Te Anau,NZ,72,63,-45.42,167.72,47.41,6.49
116,Saint-Augustin,CA,83,26,51.23,-58.65,34.25,15.99
117,Faanui,PF,66,42,-16.48,-151.75,83.21,9.37
118,Ambilobe,MG,79,7,-13.2,49.05,73.94,5.35
119,Kaspiysk,RU,93,30,42.88,47.64,42.8,6.71
120,College,US,60,75,64.86,-147.8,48.0,2.84
121,Kumul,CN,25,100,42.8,93.45,63.93,16.82
122,Bambous Virieux,MU,74,40,-20.34,57.76,78.8,16.11
123,Ambon City,ID,75,72,-3.7,128.18,81.21,4.32
124,Sistranda,NO,80,75,63.73,8.83,41.0,18.34
125,Castro,BR,41,0,-24.79,-50.01,55.24,0.51
126,San Patricio,MX,83,20,19.22,-104.7,80.6,11.41
127,Longyearbyen,SJ,74,75,78.22,15.64,35.6,21.92
128,Opuwo,NA,32,0,-18.06,13.84,70.48,3.67
129,Biak,ID,72,96,-0.91,122.88,80.13,4.99
130,Adeje,ES,64,20,28.12,-16.73,69.8,12.75
131,Tuktoyaktuk,CA,86,40,69.45,-133.04,26.6,5.82
132,Half Moon Bay,US,37,20,37.46,-122.43,81.0,5.82
133,Gaza,PS,64,29,31.5,34.47,69.01,3.36
134,Havøysund,NO,80,75,71.0,24.66,35.6,13.87
135,Yellowknife,CA,73,75,62.46,-114.35,26.01,6.93
136,Inta,RU,85,100,66.03,60.17,34.93,16.49
137,Touros,BR,83,75,-5.2,-35.46,80.6,2.24
138,Saint Paul Harbor,US,81,90,57.79,-152.41,44.6,6.93
139,Mahon,ES,87,20,39.89,4.27,59.0,11.41
140,Tromsø,NO,95,90,69.65,18.96,35.6,11.41
141,Moose Factory,CA,35,20,51.26,-80.61,26.6,14.99
142,Hasaki,JP,87,75,35.73,140.83,50.0,19.46
143,Severo-Kuril'sk,RU,93,100,50.68,156.12,32.02,12.41
144,Korla,CN,27,100,41.76,86.15,62.92,13.35
145,Lubumbashi,CD,65,99,-11.66,27.48,64.98,2.66
146,Katsuura,JP,81,92,35.13,140.3,53.6,21.92
147,Amahai,ID,77,83,-3.33,128.92,78.93,3.8
148,Naze,JP,63,70,28.37,129.48,64.4,11.41
149,Asău,RO,49,4,46.43,26.4,48.2,1.12
150,Mergen,CN,59,13,49.18,125.22,39.49,3.31
151,Pemberton,CA,20,20,50.32,-122.8,57.2,5.23
152,Vardø,NO,69,98,70.37,31.11,35.6,9.17
153,Otane,NZ,62,2,-39.88,176.63,57.29,9.13
154,Poconé,BR,64,79,-16.26,-56.62,79.07,5.73
155,Birao,CF,13,0,10.28,22.79,79.39,7.07
156,Toora-Khem,RU,55,97,52.47,96.11,39.9,1.05
157,Husavik,IS,80,75,66.04,-17.34,33.8,5.82
158,Bethel,US,26,20,41.37,-73.41,54.0,9.17
159,Aitape,PG,84,41,-3.14,142.35,78.85,4.52
160,Hong Kong,HK,77,94,22.29,114.16,71.01,3.36
161,Lüderitz,NA,67,0,-26.65,15.16,62.6,14.99
162,Mar del Plata,AR,59,20,-38.0,-57.56,62.6,11.41
163,Kieta,PG,72,96,-6.22,155.63,81.93,2.13
164,Orocué,CO,31,36,4.79,-71.34,94.87,10.76
165,Shikohabad,IN,14,0,27.1,78.6,84.29,5.46
166,Port Elizabeth,ZA,93,70,-33.92,25.57,55.4,3.36
167,Cabo San Lucas,MX,53,5,22.89,-109.91,84.0,9.17
168,Chui,UY,72,94,-33.7,-53.46,64.24,20.62
169,Atuona,PF,75,69,-9.8,-139.03,82.74,12.17
170,Tautira,PF,66,36,-17.73,-149.15,87.8,9.17
171,Bulgan,MN,55,0,48.81,103.53,32.09,2.39
172,Praia,CV,61,75,14.92,-23.51,77.0,11.41
173,Adrar,MR,23,9,20.5,-10.07,85.62,2.73
174,Lakes Entrance,AU,69,99,-37.88,147.98,62.94,3.47
175,Čelinac,BA,65,14,44.72,17.33,44.6,1.12
176,Arlit,NE,10,5,18.74,7.39,87.48,9.15
177,Kiryat Gat,IL,64,42,31.61,34.76,69.01,3.36
178,Xingyi,CN,45,0,24.19,102.82,56.35,4.61
179,Necochea,AR,72,0,-38.55,-58.74,62.01,8.01
180,Zhigansk,RU,92,62,66.77,123.37,0.18,15.61
181,Arraial do Cabo,BR,69,40,-22.97,-42.03,80.6,6.93
182,Araouane,ML,50,4,18.9,-3.53,75.7,7.56
183,Nurlat,RU,87,100,54.43,50.81,37.96,20.18
184,Yekaterinovka,RU,79,15,52.05,44.35,34.54,12.06
185,Kavaratti,IN,69,85,10.57,72.64,84.13,3.74
186,Kushima,JP,75,100,31.46,131.23,58.24,6.8
187,Chubbuck,US,75,75,42.92,-112.47,42.8,9.17
188,Yumen,CN,25,97,40.28,97.2,50.99,16.8
189,Mabay,PH,76,39,6.06,124.47,79.02,1.7
190,Camargo,MX,10,9,27.67,-105.17,79.66,3.87
191,Auburn,US,71,75,47.31,-122.23,64.0,4.7
192,Roald,NO,86,30,62.58,6.13,41.0,17.22
193,Aalen,DE,37,40,48.84,10.09,53.01,5.82
194,Kisi,NG,33,86,9.08,3.85,91.63,3.51
195,Paamiut,GL,94,100,61.99,-49.67,32.74,11.23
196,Ath,BE,50,21,50.63,3.78,57.2,5.82
197,Ostrovnoy,RU,95,100,68.05,39.51,32.74,2.82
198,Grindavik,IS,74,75,63.84,-22.43,39.2,14.99
199,Natal,BR,83,75,-5.79,-35.21,80.6,2.24
200,Lázaro Cárdenas,MX,41,26,17.96,-102.2,86.09,9.19
201,Dunedin,NZ,78,26,-45.87,170.5,54.0,1.99
202,San Quintín,MX,49,0,30.48,-115.95,69.42,11.1
203,Belaya Gora,RU,91,100,68.53,146.42,-2.96,13.44
204,Kalamare,BW,16,1,-22.93,26.57,67.3,5.93
205,Klaksvík,FO,80,55,62.23,-6.59,41.0,19.46
206,Rabo de Peixe,PT,67,20,37.8,-25.58,57.2,17.22
207,Kalakamati,BW,64,20,-20.59,27.31,68.0,4.7
208,Narón,ES,100,100,43.52,-8.15,55.0,3.36
209,Kaitangata,NZ,66,26,-46.28,169.85,51.01,5.99
210,Vestmanna,FO,80,71,62.16,-7.17,41.0,19.46
211,Christchurch,NZ,93,9,-43.53,172.63,52.0,3.36
212,Padang,ID,78,54,-0.95,100.35,78.26,4.97
213,Leningradskiy,RU,94,100,69.38,178.42,16.81,4.85
214,Saldanha,ZA,77,50,-33.01,17.94,60.8,6.93
215,Bathsheba,BB,58,20,13.22,-59.52,86.0,16.11
216,Hirara,JP,59,43,24.8,125.28,69.66,8.37
217,Wamba,NG,25,2,8.93,8.6,86.76,1.36
218,Lebu,CL,67,97,-37.62,-73.65,60.39,8.84
219,Lappeenranta,FI,90,75,61.06,28.19,34.0,4.7
220,Eyl,SO,77,11,7.98,49.82,83.03,10.8
221,Tateyama,JP,81,99,34.98,139.87,54.0,21.92
222,Powell River,CA,71,20,49.85,-124.54,62.6,8.05
223,Wukari,NG,56,17,7.85,9.78,87.49,7.43
224,Sinnamary,GF,70,7,5.38,-52.95,80.73,8.57
225,Codrington,AU,91,23,-38.27,141.97,58.66,12.95
226,Izhma,RU,88,100,65.01,53.91,35.01,7.43
227,Chateaubelair,VC,70,20,13.28,-61.25,86.0,9.17
228,Sitka,US,93,90,57.05,-135.33,44.6,4.7
229,Kirovskiy,RU,76,0,45.09,133.51,34.75,3.31
230,Sulangan,PH,78,65,11.14,123.72,81.32,6.71
231,Shimoda,JP,59,100,34.67,138.95,50.0,10.45
232,Lexington,US,34,1,37.99,-84.48,57.2,21.92
233,Naples,IT,37,0,40.83,14.25,59.0,3.36
234,Carutapera,BR,83,100,-1.2,-46.02,79.92,5.48
235,Mitsamiouli,KM,76,68,-11.38,43.28,83.52,13.22
236,Bonavista,CA,88,100,48.65,-53.11,35.01,5.01
237,Liku,ID,81,100,-0.73,119.89,76.44,2.89
238,Umluj,SA,50,0,25.02,37.27,74.23,8.55
239,Campos Altos,BR,69,98,-19.7,-46.17,66.94,1.03
240,Salalah,OM,74,40,17.02,54.09,82.4,5.82
241,Skibbereen,IE,61,20,51.55,-9.27,46.4,4.7
242,Poum,NC,77,18,-20.23,164.02,78.58,13.38
243,Hammerfest,NO,74,75,70.66,23.68,33.8,12.75
244,Kudahuvadhoo,MV,65,87,2.67,72.89,85.06,1.9
245,Tongchuanshi,CN,26,54,35.08,109.09,55.38,10.07
246,Waitati,NZ,68,30,-45.75,170.57,54.0,13.0
247,Tessalit,ML,22,100,20.2,1.01,83.55,6.78
248,Gurupá,BR,83,74,-1.41,-51.64,79.34,2.51
249,São Filipe,CV,76,93,14.9,-24.5,72.79,15.57
250,Shingū,JP,49,100,33.73,135.98,53.87,5.53
251,Srednekolymsk,RU,91,39,67.45,153.68,-2.24,10.94
252,Rafsanjān,IR,34,67,30.41,55.99,60.39,8.79
253,Macaé,BR,69,40,-22.37,-41.79,80.6,6.93
254,Richmond,US,34,40,37.55,-77.46,55.99,4.7
255,Dāmghān,IR,38,26,36.17,54.35,53.1,4.47
256,Cidreira,BR,58,49,-30.18,-50.21,67.57,19.69
257,Chanika,TZ,82,94,-5.42,38.02,68.56,2.84
258,Douentza,ML,45,28,15.0,-2.95,77.27,12.91
259,Montepuez,MZ,86,12,-13.13,39.0,68.52,3.42
260,Baghdad,IQ,28,0,33.34,44.4,68.0,6.93
261,Derzhavīnsk,KZ,57,85,51.1,66.32,46.11,13.91
262,Uvalde,US,42,1,29.37,-99.77,72.0,5.82
263,Bandarbeyla,SO,76,3,9.49,50.81,82.17,8.48
264,Gejiu,CN,55,21,23.31,103.16,54.34,4.14
265,Coquimbo,CL,63,75,-29.95,-71.34,64.4,11.41
266,Mumford,GH,82,47,5.26,-0.76,82.74,6.82
267,Frontera,MX,62,75,26.93,-101.45,66.0,6.67
268,Raudeberg,NO,87,40,61.99,5.14,44.6,18.34
269,Apatzingán,MX,30,40,19.08,-102.35,80.6,6.93
270,Shatsk,RU,84,52,54.03,41.71,33.66,10.8
271,Trussville,US,26,20,33.62,-86.61,64.0,8.05
272,Upernavik,GL,89,23,72.79,-56.15,18.86,8.97
273,Diapaga,BF,18,30,12.07,1.79,93.69,4.07
274,Boyabat,TR,70,100,41.47,34.77,48.81,4.5
275,Amarillo,US,25,1,35.22,-101.83,66.2,14.99
276,Andros,GR,71,88,37.83,24.93,55.0,14.99
277,Matara,LK,86,66,5.95,80.54,77.59,4.03
278,Sabha,LY,15,100,27.04,14.43,88.05,7.74
279,Victor Harbor,AU,88,75,-35.57,138.62,64.4,11.41
280,Trelew,AR,32,99,-43.25,-65.31,70.41,7.92
281,Pochutla,MX,41,5,15.74,-96.47,93.0,3.36
282,Samarai,PG,84,100,-10.62,150.67,80.8,7.05
283,Namie,JP,81,99,37.48,141.0,46.99,9.42
284,Guane,CU,59,81,22.2,-84.09,86.68,11.12
285,Bud,US,56,90,39.45,-86.18,48.0,16.11
286,Mercedes,AR,36,0,-34.65,-59.43,70.0,3.0
287,Sibolga,ID,83,100,1.74,98.78,76.86,3.04
288,Estación Coahuila,MX,8,5,32.19,-115.0,82.4,8.3
289,Kavieng,PG,71,100,-2.57,150.8,82.4,1.1
290,Camaçari,BR,66,20,-12.7,-38.32,86.0,10.29
291,Lagoa,PT,69,0,39.05,-27.98,56.66,22.57
292,Saint-Philippe,RE,69,18,-21.36,55.77,75.2,6.93
293,Pitimbu,BR,83,75,-7.47,-34.81,80.6,8.05
294,Nizhneivkino,RU,84,100,58.19,49.52,46.65,18.45
295,Broome,US,35,90,42.25,-75.83,46.0,11.41
296,Terenos,BR,33,0,-20.44,-54.86,73.4,8.05
297,Olafsvik,IS,84,99,64.89,-23.71,34.72,10.42
298,Fairbanks,US,49,75,64.84,-147.72,48.0,5.82
299,Chul'man,RU,82,85,56.85,124.91,27.07,1.77
300,Erenhot,CN,53,54,43.65,111.98,38.35,20.0
301,Narsaq,GL,74,100,60.92,-46.05,37.4,1.12
302,Point Pedro,LK,80,26,9.82,80.23,83.12,12.84
303,Kabanjahe,ID,94,40,3.1,98.49,80.6,2.24
304,Saint-Pierre,RE,69,0,-21.34,55.48,75.2,6.93
305,Kempele,FI,98,75,64.91,25.5,33.01,2.24
306,Banjar,ID,100,40,-8.19,114.97,78.8,2.24
307,Lorengau,PG,73,88,-2.02,147.27,82.06,1.57
308,Honningsvåg,NO,80,75,70.98,25.97,35.6,13.87
309,Kholodnyy,RU,87,94,62.72,147.95,14.5,2.3
310,Port Hardy,CA,87,75,50.7,-127.42,48.2,3.36
311,Chiang Klang,TH,49,87,19.29,100.86,78.44,1.61
312,Ruiru,KE,93,75,-1.16,36.96,64.4,9.17
313,Mareeba,AU,94,75,-17.0,145.43,75.2,10.29
314,Tegul'det,RU,78,100,57.31,88.17,41.59,11.48
315,Meulaboh,ID,83,86,4.14,96.13,79.16,3.69
316,Opotiki,NZ,69,39,-38.08,177.28,55.83,2.66
317,Yambio,SS,48,95,4.57,28.4,75.9,1.07
318,San Felipe,VE,41,4,10.34,-68.74,85.01,8.46
319,Creel,MX,11,0,27.75,-107.63,64.8,16.75
320,Nantucket,US,70,40,41.28,-70.1,50.0,10.29
321,Savannah Bight,HN,76,0,16.45,-85.85,82.35,18.21
322,Talnakh,RU,60,0,69.49,88.4,8.6,11.18
323,Nizhniy Tsasuchey,RU,48,100,50.52,115.13,39.52,5.21
324,Warrnambool,AU,92,9,-38.38,142.48,59.0,14.25
325,Bac Lieu,VN,79,55,9.29,105.72,81.27,12.19
326,Muros,ES,93,40,42.78,-9.06,57.99,4.7
327,Henties Bay,NA,91,0,-22.12,14.28,59.0,1.99
328,Yar-Sale,RU,91,0,66.83,70.83,13.53,11.21
329,Tual,ID,74,46,-5.67,132.75,82.53,2.01
330,Eirunepé,BR,87,100,-6.66,-69.87,80.33,1.72
331,Ecoporanga,BR,77,100,-18.37,-40.83,75.96,1.99
332,Vila,PT,100,75,42.03,-8.16,57.99,6.93
333,Nushki,PK,21,98,29.55,66.02,70.09,4.68
334,Segamat,MY,88,20,2.51,102.82,78.8,3.36
335,Kovūr,IN,88,0,14.48,79.98,74.95,8.97
336,Ughelli,NG,91,96,5.49,6.01,78.94,4.14
337,Bambanglipuro,ID,81,29,-7.95,110.28,77.99,3.18
338,Kununurra,AU,83,100,-15.77,128.73,69.8,1.03
339,Shwebo,MM,30,63,22.57,95.7,82.35,5.26
340,Ziro,IN,48,85,27.63,93.83,53.08,3.18
341,Najrān,SA,53,0,17.49,44.13,75.2,6.93
342,Takaka,NZ,86,65,-40.85,172.8,54.0,1.99
343,Awjilah,LY,25,98,29.11,21.29,79.3,14.88
344,Kondol',RU,81,4,52.82,45.06,36.0,12.84
345,Plouzané,FR,58,13,48.38,-4.62,60.8,2.24
346,Sovetskiy,RU,92,10,61.36,63.58,32.41,4.99
347,Walvis Bay,NA,87,0,-22.96,14.51,59.0,5.82
348,Mahajanga,MG,64,1,-15.72,46.32,78.35,13.04
349,Harper,LR,81,100,4.38,-7.72,81.7,5.12
350,Amazar,RU,77,0,53.86,120.88,32.52,2.35
351,Flin Flon,CA,36,20,54.77,-101.86,30.2,10.29
352,Homer,US,70,90,59.64,-151.55,48.2,6.93
353,Álamos,MX,28,0,27.02,-108.93,86.0,5.99
354,Širvintos,LT,81,75,55.05,24.95,44.6,12.75
355,Malia,GR,93,75,35.28,25.47,62.01,14.99
356,Norman Wells,CA,51,75,65.28,-126.83,39.2,8.05
357,Sangar,RU,90,0,63.92,127.47,5.94,5.1
358,Nanortalik,GL,93,100,60.14,-45.24,36.25,11.99
359,Alofi,NU,88,40,-19.06,-169.92,78.8,5.82
360,Zheshart,RU,90,79,62.07,49.57,33.19,13.02
361,Taksimo,RU,68,0,56.34,114.88,31.68,1.86
362,Kargasok,RU,92,100,59.06,80.86,34.39,7.09
363,Hwange,ZW,44,0,-18.37,26.5,73.04,0.76
364,Ilulissat,GL,54,100,69.22,-51.1,30.2,4.7
365,Abu Samrah,SY,35,100,35.3,37.18,61.54,5.01
366,Forbes,AU,70,81,-33.38,148.02,66.0,5.01
367,Kaputa,ZM,66,100,-8.47,29.66,68.92,2.1
368,Rūjiena,LV,89,88,57.9,25.33,33.91,5.91
369,Togur,RU,92,79,58.36,82.83,34.52,6.98
370,Kysyl-Syr,RU,92,3,63.9,122.76,8.26,7.36
371,Florida,US,94,90,28.75,-82.5,87.8,3.36
372,Nizwá,OM,31,91,22.93,57.53,79.99,1.81
373,Tilichiki,RU,95,32,60.47,166.1,16.48,6.4
374,Omboué,GA,88,100,-1.57,9.26,80.91,6.78
375,Bowen,AU,83,20,-20.02,148.23,73.0,11.41
376,Yatou,CN,83,54,37.15,122.38,49.21,14.54
377,Riyadh,SA,68,20,24.69,46.72,69.8,9.17
378,Quesnel,CA,43,1,53.0,-122.5,51.8,10.29
379,Timrå,SE,80,100,62.49,17.33,43.0,3.36
380,Windhoek,NA,19,0,-22.56,17.08,68.0,2.24
381,Vakhsh,TJ,93,40,37.71,68.83,50.0,4.16
382,Kolyvan',RU,74,0,55.31,82.74,37.4,8.95
383,Paungde,MM,71,47,18.48,95.5,71.73,3.49
384,Nishihara,JP,67,40,26.18,127.76,66.2,3.36
385,Mount Isa,AU,35,40,-20.73,139.5,73.4,6.93
386,Bongor,TD,13,0,10.28,15.37,88.66,5.37
387,Leh,IN,19,31,34.17,77.58,33.89,7.07
388,Nhulunbuy,AU,88,99,-12.23,136.77,77.0,5.82
389,Daru,PG,85,98,-9.08,143.21,79.9,8.7
390,Tarauacá,BR,75,73,-8.16,-70.77,83.88,2.73
391,Lagos,NG,79,20,6.58,3.75,86.0,8.05
392,NEDJO,ET,24,5,9.5,35.5,65.07,3.09
393,Tabou,CI,83,100,4.42,-7.35,81.18,5.37
394,Campoverde,PE,78,75,-8.48,-74.81,80.6,9.17
395,Shima,CN,82,56,24.45,117.81,62.6,2.24
396,Havelock,US,54,90,34.88,-76.9,53.6,14.99
397,São Félix do Xingu,BR,87,97,-6.64,-51.99,71.89,0.89
398,Kashgar,CN,22,56,39.45,75.98,60.8,6.71
399,Ancud,CL,100,90,-41.87,-73.82,53.6,18.34
400,Vila Velha,BR,74,99,-20.33,-40.29,82.4,13.87
401,Hamilton,US,39,90,39.18,-84.53,53.01,24.16
402,Ituaçu,BR,71,56,-13.81,-41.3,73.8,2.77
403,Chumikan,RU,84,11,54.72,135.31,34.21,6.06
404,Bustamante,MX,42,90,26.53,-100.5,66.72,7.31
405,Ixtapa,MX,57,5,20.7,-105.2,77.0,11.41
406,Katherine,AU,78,63,-14.47,132.27,75.2,5.82
407,Lyaskelya,RU,90,3,61.77,31.02,32.77,7.36
408,Nkhotakota,MW,67,5,-12.93,34.3,76.08,2.3
409,Coahuayana Viejo,MX,22,40,18.73,-103.68,87.8,5.82
410,North Bend,US,81,90,43.41,-124.22,64.99,11.41
411,Oodweyne,SO,40,84,9.41,45.06,79.9,6.31
412,Clyde River,CA,84,40,70.47,-68.59,6.8,16.11
413,Elban,RU,78,0,50.1,136.51,35.06,1.83
414,Berdigestyakh,RU,91,66,62.1,126.7,11.16,8.1
415,Birobidzhan,RU,67,0,48.8,132.95,38.26,2.33
416,Puno,PE,25,7,-15.83,-70.03,60.8,5.82
417,Barcelona,ES,87,40,41.39,2.16,62.01,12.75
418,Bilma,NE,11,40,18.69,12.92,85.8,9.28
419,Margate,GB,81,0,51.38,1.39,50.0,11.41
420,Sirte,LY,69,98,31.21,16.59,66.34,11.79
421,Agadez,NE,11,100,19.75,10.25,85.62,4.29
422,Chongwe,ZM,51,61,-15.33,28.68,68.07,2.33
423,Sabzawār,IR,44,0,36.21,57.68,54.45,3.71
424,Kalmunai,LK,73,63,7.42,81.82,81.61,2.59
425,Catuday,PH,81,73,16.29,119.81,77.86,7.34
426,Isangel,VU,78,92,-19.55,169.27,78.89,7.83
427,Viloco,BO,20,13,-16.95,-67.55,50.54,6.24
428,Rawson,AR,39,99,-43.3,-65.1,69.1,8.97
429,Vila Franca do Campo,PT,67,20,37.72,-25.43,57.2,17.22
430,Ust'-Kulom,RU,97,41,61.69,53.69,30.65,9.46
431,Cap Malheureux,MU,83,40,-19.98,57.61,78.8,16.11
432,Moyobamba,PE,69,100,-6.05,-76.97,74.14,2.13
433,Vypolzovo,RU,94,20,57.88,33.7,30.7,6.11
434,Chara,RU,76,0,56.91,118.26,25.65,2.19
